#Sample name        : Box_Zener
#Sample ID          : Zener_1_test
#Sample description : testing time resolved data
#Sample description : 
#Sample description : 
#        Time,     Current,     Voltage,        Vsrc,  Resistance,
#         sec,           A,           V,           V,         ohm,
         4.2, 0.000000016,    0.000295,   -0.000015,    0.000000,
        12.3, 0.000000017,    0.100204,    0.099874,    0.000000,
        19.8, 0.000000017,    0.200320,    0.200026,    0.000000,
        26.1, 0.000000020,    0.300182,    0.299890,    0.000000,
        34.1, 0.000000058,    0.400355,    0.400055,    0.000000,
        42.0, 0.000000803,    0.500192,    0.499895,    0.000000,
        49.7, 0.000021804,    0.600371,    0.600109,    0.000000,
        57.5, 0.000735250,    0.698904,    0.699852,    0.000000,
        66.3, 0.002002256,    0.726856,    0.729989,    0.000000,
        72.7, 0.003001726,    0.738364,    0.743210,    0.000000,
        79.3, 0.004000027,    0.746595,    0.753167,    0.000000,
        85.9, 0.005002193,    0.753079,    0.761380,    0.000000,
        92.7, 0.006001508,    0.758409,    0.768434,    0.000000,
        99.3, 0.007000059,    0.762954,    0.774705,    0.000000,
       105.8, 0.008002381,    0.766947,    0.780425,    0.000000,
       112.5, 0.009001266,    0.770489,    0.785690,    0.000000,
       119.0, 0.010000701,    0.773677,    0.790605,    0.000000,
